epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,358.971,1.41653,0.49504,0.28349,1.00557,1.44656,0.98534,1,0.995,0.6193,0.92364,0.9375,0.88375,0.8466,1.29112,0.88562,0.15367,0.69416,1.56355,0.000674223,0.000674223,0.000674223
79,362.843,1.36717,0.41302,0.26205,1.03558,1.40847,0.98827,1,0.995,0.60969,0.92655,0.9375,0.89097,0.86157,1.30581,0.87986,0.15143,0.70441,1.53473,0.00066133,0.00066133,0.00066133
80,366.755,1.44642,0.5324,0.22438,1.01454,1.40969,0.98568,1,0.995,0.58995,0.92421,0.9375,0.89458,0.86543,1.34892,0.88669,0.12366,0.81848,1.5293,0.000648437,0.000648437,0.000648437
81,371.673,1.37594,0.42245,0.28274,1.09706,1.42277,0.92328,0.9375,0.93306,0.53119,0.92375,0.9375,0.88375,0.86579,1.41084,0.87758,0.11397,0.90332,1.55938,0.000635544,0.000635544,0.000635544
82,377.955,1.42097,0.41473,0.26029,1.06226,1.38867,0.93914,0.96875,0.94678,0.52622,0.90844,0.9375,0.88031,0.86621,1.43189,0.87386,0.09668,0.87691,1.58832,0.000622651,0.000622651,0.000622651
83,383.89,1.41738,0.35433,0.25069,1.00598,1.40249,0.96289,1,0.995,0.5788,0.90163,0.9375,0.88375,0.87459,1.38075,0.86019,0.08627,0.82293,1.58112,0.000609757,0.000609757,0.000609757
84,390.526,1.33582,0.58684,0.28321,1.00006,1.39701,0.98037,1,0.995,0.60197,0.91889,0.9375,0.88437,0.8745,1.23824,0.82834,0.10424,0.73033,1.47753,0.000596864,0.000596864,0.000596864
85,396.469,1.38555,0.46326,0.24783,0.96925,1.39178,0.9536,0.96875,0.96002,0.59842,0.92275,0.9375,0.89062,0.86962,1.21742,0.8484,0.11289,0.71601,1.45516,0.000583971,0.000583971,0.000583971
86,402.831,1.39775,0.44354,0.23326,0.94748,1.416,0.95565,0.96875,0.95999,0.6052,0.92479,0.9375,0.89392,0.87705,1.22,0.86875,0.10543,0.72279,1.4484,0.000571078,0.000571078,0.000571078
87,408.897,1.36957,0.60242,0.24303,1.02843,1.39533,0.95612,0.96875,0.96296,0.62964,0.92513,0.9375,0.89729,0.87943,1.26226,0.86522,0.09728,0.75073,1.46148,0.000558185,0.000558185,0.000558185
88,415.324,1.44842,0.47856,0.22081,0.96421,1.40821,0.98513,1,0.995,0.63047,0.92367,0.9375,0.89062,0.87377,1.28185,0.85649,0.08564,0.76367,1.50022,0.000545291,0.000545291,0.000545291
89,421.53,1.48608,0.47586,0.25709,1.01098,1.45577,0.98477,1,0.995,0.63601,0.92333,0.9375,0.89392,0.87563,1.20112,0.8572,0.07942,0.74078,1.48683,0.000532398,0.000532398,0.000532398
